Tiktoker name,Subscribers,Views,Likes,Comments,Shares,Month
alexitoxedits,2.9M,1.6M,467.1K,3.9K,4.4K,9
alexitoxedits,2.8M,966K,276.7K,2.5K,3.3K,6
alexojeda,8.1M,2.6M,272.6K,802,2.2K,9
alexwaarren,15.5M,2.4M,419.8K,992,809,9
alexwaarren,15.3M,2.7M,643.7K,635,417,6
alezha.obukhov,1.3M,2.6M,309.2K,1.1K,851,9
alezha.obukhov,681.2K,2.2M,251.1K,697,1.2K,6
alfaanm,101.1K,647.2K,45.7K,1K,35.7K,6
ali.samir11,2.5M,1.7M,215.7K,6.7K,982,6
aliciasaavedra_,353.1K,4.9M,113.8K,1.3K,25.8K,6
alliep.andrews2nd,31.4K,3.1M,432.6K,1.4K,750,6
alostrich,1M,1.1M,134.3K,1K,5.1K,9
alrslani20,499.8K,2.3M,100.2K,2.1K,4.7K,6
altarvision,167K,1.1M,268.1K,1.1K,1.2K,9
alteregofanbase7,178.7K,2.6M,267.3K,560,654,6
alwanr__,6.9M,2.5M,237K,630,558,9
alxjames,2.2M,896.7K,152.8K,899,4.8K,9
alxjames,2.1M,1.7M,278.5K,1.9K,9.7K,6
alzoubinadia,5.5M,1.5M,75.9K,738,6.2K,9
amauryguichon,14.5M,11.4M,1.5M,7.2K,11.8K,9
amauryguichon,11.2M,17M,1.4M,10.7K,15.2K,6
amika0429.14,1.2M,1.3M,96.8K,3.2K,1.5K,9
amrmaskoun,967K,2M,169.9K,2.1K,1.8K,6
amxnahali,63.2K,1M,178.2K,2.3K,1.4K,9
ana_eusse,13.3M,3M,392.2K,825,141,9
ana_eusse,11.7M,2.4M,343.6K,1K,166,6
analisseworld,10.4M,1.9M,358.6K,652,1.3K,9
analisseworld,10.3M,2.3M,418.7K,926,1K,6
anaraquelhz,4M,1.6M,185.9K,1.4K,6.8K,6
anardreams,15.9M,3M,131.1K,1.9K,376,9
anas_elshayib,3.9M,3.1M,182.1K,4.6K,1.9K,6
andcarli,11.7M,6.3M,212.2K,684,578,9
andcarli,8.1M,7M,236.5K,1.3K,589,6
andreluizframbach,1.4M,3.6M,216.2K,285,1.3K,9
andremastijan,786.7K,1.2M,111.5K,876,6.2K,9
andremastijan,723.7K,5.2M,360K,2.7K,12.5K,6
andresgjohnson,4.1M,1.1M,186.4K,935,4.5K,9
andy.and.michelle,5M,2.6M,336.3K,1.4K,3.4K,9
andy.and.michelle,4.4M,2.8M,399.9K,1.8K,4.6K,6
andyarthursmith,2.2M,3.3M,564.7K,3.3K,2.8K,9
andyarthursmith,2.2M,3.3M,564.7K,3.3K,2.8K,9
angryreactions,26.6M,1.5M,257.1K,1.3K,376,9
anitta,20M,2.4M,256.8K,945,380,6
anna..paull,5.2M,2.4M,424.7K,1.3K,375,9
anna..paull,4.4M,3.1M,731.7K,2.1K,474,6
annafontanela,3.9M,2.1M,313.4K,1.2K,292,9
annajobling,477K,4.1M,482.7K,4.5K,2K,6
annapep3,1M,1.7M,337.1K,1.3K,1.5K,9
annaxsitar,12M,2.6M,372.8K,417,442,9
annaxsitar,11.9M,3.1M,454.2K,741,424,6
anxietycouple,12.2M,2.4M,271K,893,526,9
anyaischuk,11.8M,1.9M,219.3K,877,692,9
apinyabunying,215.6K,1.5M,204.1K,1.2K,1.3K,9
apollolikesblu,3K,702.3K,124.5K,9.5K,2.1K,6
arafat.buffon,1.4M,4.3M,246.7K,460,1.5K,9
aragonclyrics,1.4M,1.3M,94.4K,96,7.7K,9
areyoukiddingtv,4.8M,4.1M,648.8K,2.5K,316,6
arfaytb,372.7K,894.1K,108.7K,456,7.6K,9
arfaytb,372.7K,894.1K,108.7K,456,7.6K,6
argentinidadnovelera,91.8K,1.8M,160.5K,953,10.8K,6
arigameplays,23.2M,2.8M,320.7K,1.4K,867,9
arigameplays,21.5M,4.9M,559K,2.7K,2.3K,6
armando_netto,4.8M,2.1M,226.1K,1.9K,225,9
armandogreiser,52.4K,621.4K,112.5K,1.3K,11.4K,9
artbydemarcusshawn,6.1M,1.8M,273.8K,2.7K,2.8K,6
artistliilz_,342.6K,1.6M,240K,2.9K,973,9
ashhasacamera,871.7K,3.4M,854.7K,4.1K,2K,9
ashmonterooo,8.9K,2.6M,437.2K,6.6K,15.4K,6
aspenackley,2.2M,1.3M,192.1K,598,1.9K,9
atom221220,2.8M,1.3M,241.8K,1.4K,821,9
aubreyandersonemmons,1.1M,1.8M,320.8K,2K,1.8K,6
augustogimenez,13.5M,4.1M,608.8K,1K,605,9
augustogimenez,12.5M,4.4M,562.8K,1.2K,538,6
aureliehermansyahatta,8.7M,2.1M,187.4K,989,779,9
aureliehermansyahatta,7.4M,1.9M,190.1K,1.4K,1.3K,6
aurikatariina,7.4M,8.9M,1M,4K,3.7K,6
aussiesdoingthings,2.7M,1.2M,170K,602,3.6K,6
aussiesdoingthings,2.7M,1.2M,170K,602,3.6K,6
austenalexander,321.4K,1.3M,125.7K,1.1K,5.2K,6
austinandlexi,4M,1.8M,332.6K,1.1K,1.7K,9
avanireyes,5.1M,3.5M,283.6K,1.9K,542,6
avascreams,705K,1.2M,372.6K,2.8K,639,9
awildani13,77.2K,3.7M,498.4K,5.9K,4.4K,9
awildani13,77.2K,3.7M,498.4K,5.9K,4.4K,6
ayaatanjali_,5.9M,1.6M,303.1K,1.2K,780,6
ayanakamachi,1.5M,3M,204.2K,1.1K,1.6K,9
ayanakamachi,1.4M,3.2M,206.5K,1K,1.8K,6
aybukeyim,1.2M,3.1M,162.7K,2.1K,500,6
aydenmekus,11.5M,2.1M,204.7K,2.9K,491,9
aydenmekus,10.5M,3.6M,275.4K,8.6K,1.3K,6
ayesebastien,7.2M,2M,396.5K,2.1K,1.8K,9
ayesebastien,7.2M,2M,396.5K,2.1K,1.8K,6
aylin.criss,17.3M,2.6M,385.7K,2.1K,355,6
aymanehamedi,1.1M,3.4M,298.5K,2.8K,9.8K,9
ayutingting,7.2M,2.9M,239.2K,1.5K,2.1K,9
azzyland,4.6M,5.3M,774.2K,7K,462,9
b.blek,2.6M,8M,616.7K,6.4K,7.4K,9
badbunny,22.2M,48.9M,9M,58.4K,96.7K,6
baimwong,8.5M,2.1M,130.6K,2K,1.9K,6
bankkamo46_,1.3M,1.5M,204.7K,1.1K,3K,9
bankkamo46_,1.3M,1.5M,204.7K,1.1K,3K,6
bankrolldyl,5M,1.1M,226.9K,1.2K,1.2K,9
bara_ze,2.5M,1.8M,118.8K,4.3K,2.4K,6
barbaracoura,9.5M,1.4M,295.7K,1K,922,9
barbaracoura,8.8M,1.5M,239.7K,1.4K,816,6
bargain.bethany,124.8K,2.2M,208.7K,1.8K,28.3K,9
basementgang,5.7M,1.4M,296K,1.5K,2.9K,9
basementgang,5.4M,2.9M,256.2K,1.9K,2.7K,6
bavariamedic,489.7K,7.1M,553.6K,1.6K,3.4K,6
bayashi.tiktok,33.6M,4.4M,492K,2.6K,786,9
bayashi.tiktok,28.4M,6.2M,713.1K,3.6K,2K,6
baylenlevine,4.2M,1.2M,190.3K,2.9K,903,6
bdylanhollis,8.6M,3.5M,792.8K,4.1K,10.4K,6
beamngshorts,2.8M,2.9M,158.9K,1K,630,9
bear,1.2M,2.8M,284.4K,1.1K,371,6
beberexha,7.3M,2M,278K,3.7K,1.8K,6
bebopandbebe,750.4K,3.3M,127.2K,7.6K,354,9
bebopandbebe,750.4K,3.3M,127.2K,7.6K,354,6
beca,23M,1.7M,219.8K,2.2K,1.5K,6
bela,8.8M,2.7M,390.7K,936,982,9
belindatok,4.8M,14.2M,1.5M,14.5K,15.3K,9
bellafoodie,4.2M,2.4M,313.7K,474,1.1K,9
bellafoodie,4.2M,2.3M,271.8K,709,778,6
bellapoarch,91.4M,7.4M,677.3K,4.9K,1.1K,9
bellapoarch,90.2M,6.8M,921.9K,9.5K,1.2K,6
bellaretamosa,5.4M,2.3M,394.3K,1.1K,709,6
ben_brainard,2.6M,1.3M,296.9K,1.2K,1.1K,6
benazelart,15.7M,2.6M,221.6K,1.2K,452,9
benedictpolizzi,2M,3.6M,360.2K,230,775,9
benjikrol,31.1M,1.6M,234.7K,1.8K,348,6
bennyvelour,326.6K,786.5K,184.4K,2.5K,4.9K,9
benorsini,543.8K,2.2M,293.3K,2.8K,718,9
benyaparimm,519.3K,3.6M,186.1K,1.5K,5.2K,9
berusahalucu,694K,3.9M,239.8K,954,940,6
bessan_esmail,11.3M,2.1M,160.5K,1.4K,1.3K,9
bessan_esmail,10.4M,2.5M,175.7K,2.6K,1.3K,6
bhadbhabie,6.3M,5.1M,899.5K,3K,4K,9
bhaviboi,279.7K,3.4M,346.9K,677,791,6
bi_131_bi,1.4M,1.1M,232.1K,2K,1.3K,6
bibidong07,5.7K,1.9M,149.8K,6.6K,3.9K,6
bigdaddydmurph,1.3M,1.9M,125.1K,1.4K,2.4K,9
biggieclean,4.8M,3.7M,364.5K,1.4K,456,6
bigtugg,1.3M,2M,444K,3.1K,5.3K,9
bigweirdworld,1.5M,1.1M,304.2K,2K,4.5K,9
bikedasher,4.3M,2.5M,398K,1.5K,407,9
bilal.hd91,2.1M,1.5M,175.1K,3.1K,1.2K,6
bilalahy,3.5M,2.2M,492K,1.9K,4.7K,9
bilalahy,2M,1.1M,224.5K,1.3K,2.1K,6
bilalfadilii,1.3M,1.6M,190.5K,2K,2.6K,9
billlnai,8.7M,3.4M,934.2K,2.6K,1.9K,9
billlnai,8.5M,1.7M,403.7K,958,912,6
birovr,3M,6.4M,760.9K,6.1K,14.3K,9
bizarrap,5.8M,16.2M,2.7M,4.2K,6.9K,9
blacchyna,1.1M,1.7M,174.2K,3.7K,1.1K,6
blacksels,59.1K,620.8K,208.8K,1.8K,5.4K,6
blakeb628,568.4K,1.3M,161.3K,1.1K,10.3K,6
blamerobertjames,159.3K,3.5M,347.2K,4.4K,3.9K,9
blkk.1,470.5K,1.6M,237.2K,1.1K,1.6K,9
blondebrunetteredhead,12M,14.2M,2.6M,9.8K,7.5K,6
bobbialthoff,3.5M,2.9M,207.4K,477,1.1K,9
boberrybiscuits2,59.8K,1.5M,309.9K,1.9K,7.5K,6
booboothafoocloset,1.4M,1.2M,314.5K,673,1.3K,6
boomershroomer,63.8K,4.1M,286.4K,2.4K,3.2K,9
borhen.kachbouri,204.1K,3.6M,331.2K,926,604,6
botakteras,2.8M,2.4M,207.1K,1.7K,529,6
boywithuke,5.8M,1.6M,242.3K,1.6K,306,9
boywithuke,4.9M,1.7M,209.3K,2.2K,691,6
bp_tiktok,31.2M,4.5M,839.6K,13.9K,22.2K,9
braceletsbyk_,274.1K,1.7M,226.1K,1.1K,1.8K,9
bradley.thor,5.7M,1.3M,142.4K,1.8K,3.2K,9
brandonrogers,1.5M,2.7M,497K,1.7K,4.7K,6
brandonspam_,8.5M,1.5M,236.5K,1.4K,220,9
brandonspam_,8M,1.9M,380.2K,2.1K,348,6
brendadialoy,371.9K,1.2M,187.5K,626,2K,9
brentfordfc,1.2M,1.9M,252.3K,1.6K,1.1K,9
brentrivera,44.9M,4.9M,574.4K,2K,813,9
brentrivera,43.9M,2.9M,540.2K,2.2K,321,6
bretmanrock,14.4M,2.9M,599.9K,2K,1.4K,9
bretmanrock,14.2M,3.2M,617.2K,1.7K,1.4K,6
bricks.and.disorder,755.3K,2.5M,448.1K,1.2K,666,6
briggi_bozzo,23.9M,5.2M,361.9K,787,245,9
briggi_bozzo,22M,3.6M,335K,388,571,6
brilionaire,4.4M,2.2M,229.4K,612,2K,9
brilionaire,3.9M,4.1M,369.6K,2.1K,7K,6
britneyspears,7.1M,1.3M,107.8K,3.5K,2.3K,9
brittany_broski,7M,1.3M,236.7K,1.2K,1.4K,6
brittikitty,13.5M,3.1M,433.3K,1.2K,1.7K,9
brittikitty,12.6M,3.7M,550.9K,2.1K,2K,6
brodywellmaker,21.6M,3M,430.3K,3.6K,1K,9
brodywellmaker,21.1M,6.3M,853K,6.1K,16.4K,6
brookemonk_,23.6M,5.9M,678.9K,1.9K,1.4K,9
brookemonk_,23.6M,5.7M,620.8K,1.8K,1.3K,9
brookemonk_,20.3M,2.7M,466.9K,2.2K,1.2K,6
brunabarbieoficial,18.4M,2.6M,168.8K,12K,1.9K,6
brunocampos,5.2M,5.4M,360.6K,626,619,9
brycehall,22.7M,4.8M,497.8K,1.5K,711,9
bryceheemjames,834.6K,1.4M,237.6K,1.8K,688,9
bstchld,4.4M,2.8M,362.7K,3.1K,5.2K,6
bswagggy,16.8K,1.2M,294.6K,1.3K,5.1K,9
bu_kre_sabi,472.4K,5.1M,255.2K,659,2.6K,9
bukanstreet,1M,1.3M,171.5K,2.4K,1.5K,6
bulochkapelmen,3M,2.9M,184.8K,1.9K,1.2K,9
burnaboyofficial,972.8K,1.3M,164.5K,1.8K,2.4K,6
busheadoph,14.3M,3.2M,209.9K,709,215,9
c4tluvr666,2.6M,1.6M,312.6K,934,765,9
c4tluvr666,2.4M,2.7M,558.5K,1.4K,1.5K,6
cakelegend,1.3M,3.5M,900.6K,14.6K,1.1K,6
caleb.green,2.9M,3.1M,256.4K,897,329,6
calebrownn,5.5M,834.6K,148.2K,1.9K,2.8K,9
calfreezy,960.6K,6.5M,869.1K,1.7K,2.4K,9
camilo,28.8M,2.4M,275.9K,567,1.5K,9
camimendes,2.6M,6.2M,971.2K,2.8K,777,6
