Tiktoker name,Subscribers,Views avg.,Likes avg.,Comments avg.,Shares avg.,Month
mementoe,3.6M,3.4M,588.5K,4.4K,5.8K,9
kaelimaee,10.6M,5.5M,733.8K,1.5K,3.5K,9
paralympics,2.5M,5.4M,467.8K,1.8K,6.3K,9
ynchq,6.4M,4.9M,660.1K,2.7K,3.5K,9
connordewolfe,5.4M,3M,628.4K,1.6K,9K,9
awildani13,77.2K,3.7M,498.4K,5.9K,4.4K,9
paansih16,1.1M,2.9M,230.5K,1.2K,27.7K,9
otoha_danso,1.5M,3.4M,268K,9.5K,11.2K,9
ivanlomelitv,44K,2.4M,188.1K,1.2K,39.6K,9
davidguetta,4.5M,4.4M,419.9K,4.1K,5.9K,9
quynh.aka,1.9M,4.7M,333.2K,4.4K,7.3K,9
gianlucavacchi,21.5M,7.7M,477.1K,2K,2.8K,9
ashhasacamera,871.7K,3.4M,854.7K,4.1K,2K,9
abdelrhman_boda1,2.8M,8.1M,337.4K,1.3K,5.1K,9
garett__nolan,13.4M,4.2M,337.1K,2.4K,10K,9
sturniolo.triplets,4M,2.8M,654.2K,7.6K,2K,9
juliano,9.9M,6.8M,625.2K,3K,1K,9
jwaltonnn,733.4K,1.6M,350.9K,27K,2.5K,9
zodiac.boyfriend,2.1M,2.7M,444.7K,5.2K,8.5K,9
litkillah,2.4M,3.2M,428.3K,1.3K,10.6K,9
stickyboy69,8.9M,1.9M,478.8K,14.6K,3.8K,9
shxtsngigs,4.9M,3.6M,603.1K,1.9K,5.6K,9
faeleamendoim,3.6M,5.5M,321.6K,1.3K,7.9K,9
thallyssonsb,10.7M,3M,450.1K,3.8K,8.1K,9
saramohannad_,7.9M,4.5M,364.9K,6.3K,3.1K,9
miakhalifa,35.7M,5.4M,610.3K,2.5K,2.2K,9
qamar_altaey,3.8M,3M,298.1K,7K,9.9K,9
sofyank96,2.6M,4.5M,565.1K,2.5K,3.4K,9
kooovryt,2.5M,2.9M,516.2K,4K,6K,9
leesiyoung38,17.4M,3.5M,658.8K,3.8K,2.8K,9
jdpantoja,30.5M,4.6M,751.9K,3.5K,799,9
billlnai,8.7M,3.4M,934.2K,2.6K,1.9K,9
itssassagurl,6.6M,3.5M,565.3K,3.1K,4.1K,9
bargain.bethany,124.8K,2.2M,208.7K,1.8K,28.3K,9
terryreloaded,6.5M,2.3M,508.7K,2.7K,8.7K,9
gordonramsayofficial,33.8M,6.4M,488.1K,2.2K,2.1K,9
larissagloor,3.4M,3.1M,756.8K,3.9K,1.8K,9
rah_money1,3.4M,3.2M,426.3K,3.1K,6.3K,9
aymanehamedi,1.1M,3.4M,298.5K,2.8K,9.8K,9
luvadepedreiro,19.4M,4.2M,571.7K,3.7K,1.7K,9
brookemonk_,23.6M,5.9M,678.9K,1.9K,1.4K,9
parnishacook,615.7K,3.2M,183.7K,352,21.3K,9
yzn47,7M,7M,249.2K,1.2K,6.1K,9
pimrypie__tiktok,3.3M,7.7M,466.3K,2.3K,1.2K,9
alanthedude,681.8K,3.7M,636K,3.5K,1.8K,9
daviddobrik,26.2M,4.4M,440.6K,1.7K,4.6K,9
montanablack,2.5M,3.4M,447.5K,3.5K,4.4K,9
vhackerr,14.9M,3.3M,487.1K,4.6K,2.7K,9
cellat36,8.6M,5.4M,307.5K,5.2K,1.9K,9
thebenjishow,5.9M,3.3M,643.8K,2.2K,3.2K,9
seventeen17_official,6M,1.9M,595.1K,5.3K,4.9K,9
thenataliahms,73.9K,3.5M,259.6K,928,11.8K,9
loganpaul,15.9M,4.8M,976.9K,1.4K,1K,9
andyarthursmith,2.2M,3.3M,564.7K,3.3K,2.8K,9
loganpaul,15.9M,4.8M,976.9K,1.4K,1K,9
andyarthursmith,2.2M,3.3M,564.7K,3.3K,2.8K,9
cauwave,1.4M,2.6M,396.6K,2.7K,8.2K,9
nicollefigueroaa,12.7M,5.5M,766.1K,1.8K,882,9
brookemonk_,23.6M,5.7M,620.8K,1.8K,1.3K,9
oldtimehawkey,6.4M,2.9M,445.5K,4.6K,4K,9
mix_151,3.4M,4.8M,481.9K,3.2K,1.4K,9
mmmjoemele,22.8M,5.7M,848.4K,1.2K,1K,9
lordtrunks,2.2M,4.2M,386.9K,3K,3.6K,9
paytonking,5.3M,2.6M,325K,4.8K,7.6K,9
squatch.and.sons_customs,213.6K,7.7M,471.3K,1.6K,1.2K,9
incorrectlyroce,8.4M,3.9M,678.6K,2.2K,1.7K,9
lifeofclare,42.2K,3.1M,724.4K,1.2K,3.4K,9
patrickbarnes,2.4M,2.2M,417.2K,3.9K,7.3K,9
the.historical,201.5K,2.9M,346.2K,4.8K,5.1K,9
blamerobertjames,159.3K,3.5M,347.2K,4.4K,3.9K,9
pollerocho,3.5M,3.5M,567.2K,841,4.2K,9
ferchugimenez,7.7M,4.5M,825.6K,1.5K,1.1K,9
jaykindafunny8,24.3M,4.8M,612.4K,1.3K,2K,9
kulinaria.recetas,3.8M,3.4M,408.9K,443,6.4K,9
cocielo,5M,2.3M,675.9K,2K,4.1K,9
darylsabara,695.7K,3.6M,628.5K,1.9K,2.1K,9
livefromthepark,369K,2.2M,130.2K,1K,30.6K,9
saraisthreads,1.6M,2.3M,462.7K,2.6K,6.1K,9
fhd.artz,2.2M,4.5M,288.8K,5.4K,1.4K,9
ig_alongwiranda,880.7K,3.2M,129.4K,1.2K,20K,9
initiaraandini,5.1M,3.8M,419.6K,2.6K,3K,9
ndshvv,3.2M,3.8M,552.4K,3.4K,764,9
maiaknight,8.8M,4.7M,720.5K,1.6K,960,9
homm9k,44.4M,3.8M,489.8K,3.6K,1.1K,9
dobretwins,36.2M,4.8M,453.1K,2.8K,1.1K,9
jacksepticeye,4.9M,2.3M,559.8K,3.8K,2.7K,9
franckfs,5.7M,4.9M,330.9K,1K,4.1K,9
iamdtg,1.2M,2.2M,251.9K,2.2K,12.9K,9
jihansalsabila44,1.6M,2.7M,366.4K,3.6K,4.5K,9
brentrivera,44.9M,4.9M,574.4K,2K,813,9
rayandmadalyn,1.1M,3.6M,496.1K,1.8K,2.6K,9
nessaabarrett,19.4M,4M,420.5K,2.7K,2K,9
leanadeeb,10.4M,3.9M,573.5K,1.3K,2.1K,9
just.hamilton,2.9M,2.3M,371.1K,1.9K,7K,9
wilmah10,6.3K,2.9M,208.2K,2.7K,9.9K,9
official_kep1er,4.8M,2.7M,518.5K,3.6K,1.7K,9
loicsuberville,2.4M,2.4M,458.1K,1.6K,5.2K,9
lana_mohd89,5.7M,4.1M,293.4K,3.7K,2.6K,9
bigtugg,1.3M,2M,444K,3.1K,5.3K,9
jvke,7.7M,3.7M,582.2K,2.1K,1.3K,9
bayashi.tiktok,33.6M,4.4M,492K,2.6K,786,9
bilalahy,3.5M,2.2M,492K,1.9K,4.7K,9
spicyycam_,19.5M,4.2M,414.1K,2.8K,1.3K,9
duythamchannel,4M,5M,492.5K,2.2K,708,9
fedevigevani,14.6M,4M,457.2K,2.7K,1.1K,9
korectiion,390.5K,3M,376.8K,4.3K,1.7K,9
theovon,2.7M,3.1M,320.8K,1.1K,5.6K,9
dafnnejm,3.8M,3.7M,667.9K,1.4K,1.3K,9
boomershroomer,63.8K,4.1M,286.4K,2.4K,3.2K,9
abir.sag,14.7M,4.3M,302.8K,2.8K,2.3K,9
iamprisleeciyi,13.9K,2.3M,522.9K,1.2K,4.2K,9
mikaylahau,4.9M,3.6M,313.5K,4.6K,1.1K,9
ranboolive,4.3M,1.8M,414.8K,7K,1.6K,9
fadiljaidi,8.7M,3.5M,390.7K,2.9K,1.8K,9
diiegospyckerzs,808.5K,2.8M,154.5K,3K,11.8K,9
sonyakisa8,17.4M,3.5M,287.7K,1K,5.3K,9
dbl_n,2.2M,3.6M,392.9K,2.4K,2.1K,9
gavincasalegno,3.2M,2.2M,394.7K,5.3K,1.9K,9
gordeewa__13,12.7M,5.4M,293.7K,3.2K,722,9
guide_smis,275.7K,13.1M,299.2K,435,1.2K,9
lucasmonteirosg,486.9K,3.8M,469.4K,1.8K,1.7K,9
dasigantung,5.9M,4.6M,648.5K,842,1.3K,9
vanessalopesr,25.2M,3.4M,327.8K,3.6K,1.9K,9
alexitoxedits,2.9M,1.6M,467.1K,3.9K,4.4K,9
bretmanrock,14.4M,2.9M,599.9K,2K,1.4K,9
brodywellmaker,21.6M,3M,430.3K,3.6K,1K,9
jamescharles,36.9M,4.2M,356.4K,2.9K,1.1K,9
pablitocastilloo,5.8M,2M,234.7K,1.8K,10.8K,9
jindaouis,2M,3.4M,492.2K,1.6K,1.9K,9
readyfredi,3.2M,1.6M,364K,3.8K,6.6K,9
ive.official,3M,2.4M,355.6K,4.1K,2.7K,9
hannahbahng,2.4M,1.7M,479.4K,5.8K,1.3K,9
realnikocadoavocado,1.7M,3.4M,131K,6.9K,6K,9
_andrewcurtiss,2.8M,2M,341.9K,5.5K,2.9K,9
datvilla94,6.9M,2.7M,192K,8.6K,2.6K,9
santiperezvivas,1.8M,2.5M,418.3K,1.8K,3.8K,9
sucss.s,11.5M,3.2M,539.9K,2.5K,755,9
thalita_karter,3.9M,3.4M,200.2K,1.2K,6.9K,9
davidcstt_,5.3M,3.5M,480.5K,1.9K,1.4K,9
strangehumano,10.4M,3.8M,400.8K,2.4K,1.1K,9
gregisms,2.4M,1.4M,235.8K,4.3K,12.3K,9
matheuscllaus,5.4M,2.7M,340.1K,2.3K,3.7K,9
halinhofficial,2.7M,4.1M,346.5K,2.4K,1.4K,9
kaan.etm,3.3M,1.6M,411.5K,3.4K,4.7K,9
nicocaponecomedy,23.1M,4.6M,317.3K,1.4K,2.3K,9
aitch12,2M,3.5M,351.4K,2.1K,2.3K,9
kirbyquimado,187.9K,2.1M,274.9K,1.5K,7.6K,9
brycehall,22.7M,4.8M,497.8K,1.5K,711,9
straange_56guuuuy,5.9K,1.5M,276.6K,2.2K,10.8K,9
emillyvickof,12.1M,5.4M,444.8K,1.4K,799,9
datdo0803,7.6M,3.7M,368.2K,2.6K,1.1K,9
