Tiktoker name,Subscribers,Views,Likes,Comments,Shares avg.,Month
jindaouis,1.1M,1.4M,178.5K,824,1.2K,12
jjeverettrose,327.9K,842.8K,147.2K,736,2.9K,12
jmartineze_,5.5M,4.1M,212.2K,736,1.1K,11
joaoferdnan,3.8M,4.2M,217.6K,1.6K,832,12
joe.bartolozzi,17.4M,4M,164.2K,623,507,12
joerauth_,17.3M,4.8M,221.2K,711,941,11
johnnysins,2.1M,1.1M,190.9K,1.4K,4.2K,12
jomaryee,2.1M,1.1M,190.9K,1.4K,4.2K,11
jombospice,9M,2.1M,218.4K,727,191,11
jonata_26,9M,2.1M,218.4K,727,191,11
jonatan.clay,156.3K,5.8M,279.1K,1.7K,21.8K,11
jooj,2.9M,2.5M,313.9K,1.1K,364,11
jordanavucetic,8.3M,1.3M,208.9K,2.5K,2.5K,11
jordanbardella,2.2M,4.1M,393.6K,1.8K,1.2K,12
jordy2d,2.1M,3M,263.6K,1.9K,445,11
joshhelfgott,2.7M,2.1M,229.9K,1.5K,688,12
joshpeck,2.6M,2.6M,328.9K,1.3K,468,11
joshrichards,1.5M,2M,249.4K,723,2.1K,11
joshtgodfrey,3.9M,3.8M,196.1K,1.6K,821,12
joslum,4.2M,2.7M,168.6K,653,991,12
juandamc,8.8M,2.5M,194.1K,4.4K,5.9K,12
juanpazurita,8.8M,2.5M,194.1K,4.4K,5.9K,11
jubiandxian,4.3M,2.9M,369.9K,1.5K,1.3K,12
juhmazzocco,57.5M,4.7M,356.6K,2.1K,923,12
juicy_ankles,57.5M,3M,101.3K,1.3K,361,11
juixxe,1.5M,1.7M,84.6K,156,4.7K,12
julesleblanc,1.2M,1.3M,133.5K,675,1.7K,11
juliano,37.1M,2.8M,227.5K,1.2K,406,12
julieevlorentzen,36.6M,4.4M,425.4K,1.8K,764,11
julisavioli,4.1M,4.7M,759.1K,2.2K,2.3K,12
jumpersjump,6.5M,991.4K,157.4K,1.9K,2.2K,12
junpei.zaki,6.4M,1M,181.3K,1.4K,1K,11
just.hamilton,62M,5.8M,779.9K,5.3K,2.5K,12
justingrimes_,60.5M,9.1M,1.2M,6K,2.7K,11
justmaiko,387.7K,1.1M,148K,1.2K,4.1K,12
jvke,9.7M,2.6M,237.8K,1.5K,533,12
jypestraykids,9.3M,6.3M,405.7K,2.6K,1.1K,11
k0uvr,12.4M,1.5M,200.2K,1.6K,502,12
kaliuchis,12.3M,1.8M,338.2K,1.4K,712,11
kallmekris,5.7M,2.4M,107K,866,3.4K,11
karenbarreraoficial,7.8M,1.7M,261.7K,3.1K,391,12
karna.val,7.8M,1.2M,215.6K,1.7K,434,11
karolsevillaokay,2M,762.1K,110.1K,1.5K,3.9K,11
katclark86,7.6M,10.1M,53.6K,778,546,12
katiavlogss,3.8M,2.8M,533.6K,4K,10.4K,12
katiessigmond,3.8M,2.8M,533.6K,4K,10.4K,11
katstickler,6.8M,2.4M,435.5K,1.5K,1.3K,12
kaykai_ntch,6.4M,1.8M,325.6K,1.1K,1.6K,11
kaylamalecc,17.2M,4.7M,544.8K,396,531,11
kblock43,4.4M,2.9M,560.1K,2.7K,4.2K,12
keeganevansphoto,5.3M,1.2M,186.9K,5.8K,1.2K,12
keemokazi,1.6M,902.2K,130.3K,5.4K,929,12
kehlani,5.6M,2.8M,214.6K,839,532,12
keirariff,5.4M,2.5M,254.5K,1K,339,11
keniaos,4.9M,1.9M,278K,4.2K,2.7K,12
kervo.dolo,4.5M,2.8M,403.8K,4.1K,2.8K,11
kessel_nathan_official,9.7M,4.7M,920.4K,10.4K,1.4K,12
kfc_es,8.9M,5.3M,874.2K,14.6K,2.4K,11
kfulgar,7.5M,2.2M,245.4K,2.4K,1.9K,12
khaby.lame,7.5M,2.2M,245.4K,2.4K,1.9K,11
kikakiim,1.4M,2.2M,137.6K,2.4K,612,12
kikiandkilo,4.5M,1.9M,104.6K,512,1.7K,11
kikysaputrii,5.7M,6.8M,284.8K,1.7K,958,12
kimberly.loaiza,4.3M,1.7M,185.2K,754,488,12
kimkardashian,4.3M,1.7M,185.2K,754,488,11
kodasteven,6.2M,2.8M,171.7K,431,651,12
kopke613,5.8M,2.7M,275.3K,504,511,11
krisjenner,15.3M,2.7M,363.3K,405,256,12
krissiti911,15.3M,2.6M,324.4K,787,239,11
kukombo,2.9M,2.5M,231.3K,530,916,12
kulinaria.recetas,11.8M,1.5M,284.5K,1.5K,476,12
kurtisconner,11.8M,1.5M,284.5K,1.5K,476,11
kyliejenner,8.6M,2.9M,215.9K,930,398,12
l_galy,142.8K,1.7M,280.4K,3.6K,5.9K,12
la.maraaa,2.5M,1.1M,121.7K,471,15.4K,12
laactea,2.4M,1M,86.2K,217,10.5K,11
lacha21.1,1.5M,2.6M,418.7K,1.6K,4.8K,11
lachama4_ff,2.9M,1.7M,175.8K,449,1K,12
lachlanfairbairn,2.7M,5.6M,261.6K,709,1.3K,11
ladydianka,1.3M,2M,352.2K,1.5K,3.2K,12
lagranjadelborrego,12.7M,7.2M,783.6K,3.1K,3.2K,12
laladulol,2.5M,7.5M,1.9M,20.8K,15.5K,12
lana_mohd89,1.1M,1.2M,162K,885,1K,11
lance210,10.3M,6.7M,680.1K,2.3K,6.9K,12
lancealexander,10.1M,3.7M,334.7K,608,4.3K,11
landonbarkerr,2.9M,1.8M,171.9K,773,749,11
lapizinncrack,42.2M,2.3M,269.7K,1.2K,232,12
larissa_kimberlly_,41.8M,1.8M,217.3K,1.5K,316,11
larissagloor,1.5M,2.4M,219.9K,684,9.3K,12
larrywheels,5.7M,1.1M,141.5K,1.6K,841,11
lasateuch,5M,3.9M,403.3K,869,920,12
lauralove5514,13.9M,11.5M,570.2K,6.7K,2.1K,12
laurasalazar_s,13.1M,4.9M,383K,2.5K,1K,11
leal_stephany,4M,2M,324.4K,390,894,12
leanadeeb,12.2M,2.5M,199.9K,497,249,11
leanbeefpatty,22.7M,2.3M,230.2K,486,317,11
leannafirestone,3.5M,1.4M,119K,5K,802,12
lee.cuong,2.1M,3.4M,323K,867,1.6K,12
leen_mohd98,2.1M,3.5M,329.3K,1.2K,2K,11
lehvideira,4.2M,1.7M,233.1K,1.7K,577,11
leleburnier,13.3M,5.7M,1.7M,35K,25.3K,12
lelepons,9M,2.7M,252.9K,1.2K,918,12
leonardberducat,2M,1.3M,155.1K,1.4K,1K,12
letskwoowk,1.9M,1.2M,132.9K,1.5K,2K,11
levraimotif,1.8M,2.4M,181.2K,805,199,12
lewiscapaldi,1.3M,6.1M,72.8K,202,741,11
lexibrookerivera,4.9M,3.6M,397.5K,560,1.5K,12
lexychaplin,4.8M,4.2M,417.5K,605,503,11
lgndfrvr,524.1K,2.3M,153.9K,1.5K,1.7K,11
libardoisaza,6M,1.6M,253.2K,734,1.1K,12
lifeofadoctor,6M,5.1M,813.8K,2K,3.7K,12
liiza.baez,5.8M,4.4M,756.2K,1.8K,1.9K,11
liiza.baez,230.4K,1.1M,98.9K,482,5.1K,11
lilireinhart,2.4M,2.3M,222.7K,390,392,12
lilmabu,8M,3.4M,385.9K,1.6K,1.7K,11
lilnasx,872.3K,1.2M,56.4K,416,7.4K,11
lilpump,7.8M,2.6M,136.2K,11.8K,3K,11
lilyxgarcia,1.2M,736.2K,185.5K,1K,2.5K,12
lisefalfio,1.6M,1.5M,157.2K,411,1.5K,12
livvy,66K,692.8K,111.3K,2.9K,3.5K,12
lizzza,66K,692.8K,111.3K,2.9K,3.5K,11
lkzinhu,9.2M,12.7M,1.7M,7.6K,4.4K,12
llkeyllll,8.8M,3.3M,437.7K,1.2K,759,12
locofer5,1.8M,1.9M,345K,1.3K,574,12
logfive,1.1M,2.2M,234.9K,1K,1.3K,11
lokiandthetesseract,13.2M,3.7M,522.6K,4.8K,4.4K,12
lordtrunks,4M,2.6M,125.2K,283,1.9K,11
los_chicaneros,2.5M,1.1M,182.5K,2.7K,840,12
losadnmx,5.9M,2.4M,331.8K,1.5K,1.1K,12
louka__m,5.4M,2.4M,343.6K,1.1K,591,11
lourdasprec,3.7M,1.4M,96.8K,346,2.8K,12
lpshkaa,6.1M,3.5M,470.5K,2.3K,1.2K,12
lu.s.cas,5.6M,1.6M,257.4K,1.1K,642,11
lucaslopezvilet,1.4M,1.9M,49.6K,515,6.4K,12
lucasvarelaaaa,27.6K,2.8M,149.4K,530,3.6K,12
lukas.urkijo,1.7M,2.7M,203K,554,286,11
luvadepedreiro,3.1M,2.4M,193.1K,2.3K,599,12
lyodrabeneran,3M,2.3M,165K,2.1K,1.2K,11
macdi_off,21.1M,1.5M,200.4K,1K,688,11
mackenziesol,1.2M,4.6M,250K,1K,1.1K,12
mackenzieziegler,956.9K,2.1M,136.8K,404,1.9K,12
maddybreteche,15.4M,2.2M,284K,2.5K,491,12
madeleinecwhite,15M,3.4M,232.9K,2.3K,541,11
madelineargy,5.9M,2.6M,381K,1.5K,2.6K,12
madisonbeer,5.9M,1.8M,225.3K,1.6K,1.8K,11
madonna,3.4M,2.4M,203.1K,1.5K,247,12
madsbaileybabe,3.8M,1.6M,159.8K,1.2K,154,11
magicphotofilm,5M,2M,361K,2.5K,1.8K,12
maherzainfanforever,4.3M,1.5M,263.4K,1.4K,1.3K,11
maiaknight,8.2M,4.7M,825.8K,1K,1.2K,12
majofutbol,8.1M,3.1M,552.5K,879,1K,11
makeupartistgorda66,7.3M,3.3M,349.3K,733,3.3K,12
maluborgesm,5.5M,3.6M,715.7K,2.9K,6.6K,12
mamalindy,4.6M,3.3M,522.7K,2.6K,4.8K,11
mamene_lorenzo,2.4M,2.5M,164.5K,1.1K,1.9K,12
mamontellato,2.3M,4.3M,320.9K,4.6K,3.5K,11
mandrake1984real,1.1M,2.7M,306.4K,1K,78,12
manhtienkhoi_,2.7M,1.7M,287.9K,1.4K,1.3K,12
marcelldegen,404.3K,665.9K,82K,1.1K,13.9K,12
marianagrimaldii,3.1M,2.2M,174.6K,632,12.3K,12
mariolcalderon,3M,3M,287.9K,891,10.8K,11
marisol.viola,1.4M,1.6M,239.9K,1.2K,461,12
markoterzo,1M,1.5M,264.1K,1.2K,339,11
marsaimartin,1.8M,1.1M,245.1K,830,750,12
marshelwidianto,4.2M,2.1M,362.4K,1.4K,1.4K,11
martita_de_grana,627.4K,1.3M,152.9K,523,1.2K,11
mas_nizar,5.6M,1.4M,194.4K,1.2K,2.3K,12
masood_boomgaard,18.3M,3.1M,372.2K,498,2.3K,12
mateuspesce,17.5M,2.1M,250.9K,481,1.8K,11
matt_and_abby,5.7M,6.8M,227.9K,1.2K,1.8K,12
matt_rife,5.4M,9M,694.4K,2.1K,6.9K,11
matt_rife,12.9M,6.7M,300.2K,1.6K,340,12
mattiastanga,12.6M,3.6M,194K,1.4K,504,11
mattsturniolo,16.8M,2.8M,287.4K,358,265,11
max_balegde,8.7M,3.1M,155.5K,1.1K,305,12
mayte421,4.4M,1.2M,222.5K,887,825,12
maytree_music,4.9M,3.3M,238.8K,725,204,12
mbossotz,16.9M,2.6M,237K,800,597,12
mclomaofficiall,16.6M,3M,274K,809,763,11
mdmotivator,754.8K,5.7M,790.2K,4.1K,1.7K,12
meghantrainor,8.7M,2M,275.2K,557,1.1K,11
melfouad,10M,1M,238.4K,2.1K,485,12
melmaia,10M,854K,220.8K,1.9K,921,11
mexicocookingclub,3.7M,2.2M,119.8K,1.1K,435,11
miakhalifa,228.7K,1.9M,156.3K,1.7K,820,12
micaraht,13.4M,2.7M,351.3K,2.9K,5.2K,12
michou_yt,13.4M,2.7M,351.3K,2.9K,5.2K,11
mieayamthebstt,7.9M,1.3M,149.2K,831,1.3K,11
miguelito_peru,7.9M,1.3M,149.2K,831,1.3K,11
migueltanfelix98,573.3K,2M,129K,1.9K,16.5K,12
mijangggg,455.2K,1M,73.5K,867,7.6K,11
mikaylahau,19.4M,3.8M,340.6K,396,290,12
miladmirg,2.2M,2M,188.7K,8.6K,4.5K,11
mimiermakeup,2.5M,2.4M,315.1K,775,1.1K,12
mimiyouu,1.4M,1.2M,124.9K,1.4K,966,11
minami.0819,18.8M,1.9M,327.7K,1.5K,522,11
mispastelitos_,3.9M,2.3M,380.1K,960,698,12
missionaryjack,35.2M,2.8M,162.4K,896,1.6K,11
mmaizalazar,825.3K,2.3M,150.9K,247,1.3K,12
mmmjoemele,6.5M,977.6K,106K,695,6.8K,12
mndiaye_97,1M,1M,171.6K,983,1.3K,12
mohaimen.alaa,5.8M,707.4K,159.4K,1.1K,2.4K,11
mohm.nabeel,1.3M,1.2M,177K,665,1K,11
mollymaehague,5.2M,2.2M,398.1K,2.6K,5.5K,12
mondeenise,5M,1.2M,254.4K,1.4K,2.9K,11
montpantoja,13.8M,2.3M,254.7K,751,172,12
moontellthat,13.8M,4.9M,278.6K,2.4K,524,11
moosenyc2,35.6M,4.6M,388.2K,2.3K,613,12
morganveraa,34.7M,6.2M,561.4K,1.7K,1.2K,11
morimura,336.2K,717.6K,73.1K,2.4K,5.7K,11
mqquintos,11.6M,4.9M,510.4K,1.9K,806,12
mrbeast,11.6M,5.6M,690K,2K,1.4K,11
mrcaqui,11.6M,5.6M,690K,2K,1.4K,11
mrnigelng,6M,1.5M,218.2K,1.4K,2.3K,12
muanglk,944.8K,1.5M,162.2K,1.7K,24.6K,12
murphslife,636.4K,980.2K,197.3K,874,5.5K,11
mymint.nara,5M,3M,195.4K,2.5K,1.7K,12
n.vv3,7.1M,3.4M,269K,1.3K,180,12
nada_m7amed,1.8M,1.9M,248.8K,548,493,11
nadbilqis,149.6K,3M,653.9K,3.2K,11.4K,12
naenano,8.5M,1.7M,194.1K,707,2.4K,11
naimdarrechi,7.5M,2.7M,464K,1.8K,1.4K,11
namemnjtv12,3.6M,1.3M,169.1K,1.2K,443,11
namyulenka,2.7M,2.8M,393.3K,864,1.3K,11
nandaarsyinta,14.6M,1.9M,216.5K,520,1.3K,11
nashvibes,19.2M,2.5M,69.5K,626,3.3K,12
natajadeh,5M,3.1M,275.6K,641,636,12
nathaliavalente,3.3M,3.1M,106.9K,806,726,12
nathalieholscher14,3.2M,3.9M,138.6K,896,1.3K,11
nathanmccarron0,1.2M,2.3M,201.3K,5.3K,4.5K,11
nayibbukele,3.6M,1.6M,273.9K,7K,2.2K,12
nazormaya,3.3M,1.6M,404.9K,6.9K,2.6K,11
ndshvv,10.5M,3.3M,398.5K,1.5K,972,12
ne_4_,10.3M,2.2M,242.8K,708,445,11
nekoglai,336.4K,1.3M,205.1K,820,774,11
nellarose,2.9M,3M,302.9K,1.8K,431,11
nelyrall,319.8K,1.5M,162.1K,1.3K,2.8K,11
nessaabarrett,84.6K,2.8M,145.9K,10.8K,12.8K,11
newt,587.8K,2.2M,150.2K,861,424,12
neymarjr,1.2M,3M,514.9K,792,665,11
ngoc.matcha,2.9M,1.4M,66.8K,1.7K,3.1K,11
nhuchuu0909,6M,1.9M,262.4K,2K,2.3K,12
nia.ramadhani.bakrie,5.9M,2.8M,363.4K,4.3K,6.8K,11
niallhoran,9.6M,4.1M,361.3K,819,264,12
nianaguerrero,9.3M,3.8M,399.6K,1K,262,11
nick.digiovanni,801.5K,1.3M,85.2K,4.3K,80.4K,12
nickandcarrie,643.7K,1.3M,38.4K,6.2K,71K,11
nickiminaj,2.1M,2.4M,409K,1.7K,3.1K,11
nicocaponecomedy,1M,5.2M,104.8K,1.1K,909,12
nicolegarcia,1.4M,1.1M,124.4K,5.5K,532,11
nicollefigueroaa,9.9M,3.9M,454.1K,1.6K,2.3K,12
nikitadragun,9.1M,3.2M,443.2K,1.3K,2.5K,11
nilered,13.2M,2.9M,250.2K,1.4K,807,12
nina,46.4M,1.7M,165.8K,1.2K,557,12
ninabaiocchi,46.1M,2M,210.9K,1.2K,298,11
ninogashi,8.8M,2M,305.9K,551,109,11
nisculas,11.9M,11.2M,1M,6.1K,5.9K,12
nisriinejr,8.2M,19.2M,1.7M,7.4K,9.5K,11
niziu_official,32.2M,2.1M,264K,2.7K,1.3K,11
njr11njr,5.5M,1.6M,172.6K,437,1.1K,12
nmixx_official,460.7K,3.3M,180.8K,745,631,11
nnatalieaguilar,614.6K,1.5M,225.1K,778,1.1K,12
noamusic_official,552K,1M,121.9K,1.9K,727,11
noeldeyzel_bodybuilder,46.6K,952.7K,226.3K,1.1K,2.8K,12
noelgoescrazy,20.9M,1.9M,205.7K,1K,438,12
noguidnce,20.7M,1.9M,181.1K,1.6K,894,11
nonnapiaa,3.1M,1.1M,147.2K,739,1.8K,12
notconor18new,4.9M,1.9M,248.7K,2.4K,1.1K,11
notorious_foodie,2.7M,1.6M,182.6K,1.5K,4.5K,11
nottclay,32.9M,8.6M,1.3M,7.7K,4.5K,11
nottheworstcleaner,2.7M,2.6M,397.3K,339,273,11
nourmar5,8.2M,1.3M,165.5K,1K,866,11
oafonsopadilha,8.2M,1.3M,165.5K,1K,866,11
odakei_6,10M,1.6M,114.7K,3.4K,326,12
oddanimalspecimens,9.2M,2.7M,207.5K,3.2K,280,11
official_gidle,468.8K,2.3M,85.5K,997,1K,12
oironyoliveira,12.1M,1.5M,291.4K,722,466,11
oldtimehawkey,13.7M,3M,190.2K,1.4K,348,11
oli_natu,1.7M,2.9M,158.6K,2K,2.6K,11
olisboa,2.5M,1.9M,168.7K,1.2K,445,12
olivertree,402.8K,1.8M,271.5K,503,801,12
omahi.tiktok,1.3M,1.2M,103.2K,354,3.8K,11
ongsquad,94K,6.4M,1.2M,4.2K,37.5K,12
onwardwanna,3.1M,2.9M,168.8K,2.2K,681,12
oscar_mezar,2.5M,1.9M,143.7K,2.5K,360,11
osmancengel,4.9M,1.7M,125K,1.5K,6.6K,12
otakoyakisoba,2M,1.3M,193.9K,587,1.9K,11
outtpig,8.3M,879.4K,182.2K,1.2K,3.3K,11
ox_zung,5M,4.8M,802.4K,2.7K,658,12
ozikoy,4.6M,6M,690.1K,2.5K,708,11
pablitocastilloo,339.6K,1.3M,224.3K,742,2.1K,12
padillamarilis,3.6M,1.6M,212.6K,684,971,12
padillamarilis,9.2M,2.4M,385.7K,779,634,12
paigetaylor.s,9M,2.6M,418.4K,851,990,11
pakoyaso_,1.2M,1.7M,280K,792,321,12
pamiathat,1.7M,2.3M,195.5K,3K,1.6K,12
papa.groot,1.2M,909.3K,117K,2.1K,1.1K,11
paralympics,5.2M,2.5M,267.2K,1.4K,730,11
paytonking,2.3M,3.9M,295K,1.6K,1.1K,12
pedroarcafra,2.2M,1.9M,134K,994,356,11
pepperonimuffin,4.4M,2.7M,217.8K,767,2.4K,11
pete_pamana,6.9M,1.8M,262.6K,817,371,12
peter_vigilante,6.5M,2.1M,381.2K,960,1K,11
phamvinh99,1.7M,3.5M,269.7K,780,410,11
philipdefranco,226.2K,1.8M,288.6K,1.1K,581,12
pierson,2M,1M,225.5K,6.4K,9.4K,12
pietro_morello,1.9M,870K,156.7K,3.8K,5.3K,11
pivet.workout,3.5M,970.1K,162.6K,7.3K,1.4K,12
piyanutella,3.4M,3.1M,445.9K,4.4K,2.1K,11
pkllipe,8M,1.7M,269.2K,2.8K,1.4K,12
pluutao,11.5M,1.8M,266.7K,1.8K,2.2K,11
pokmindset,4.3M,6.2M,233.2K,918,362,12
policiaperu,4.2M,1.5M,270.8K,582,608,11
pongamoslo_a_prueba,2.8M,4.1M,445.1K,740,638,12
porojin,2.8M,2.4M,381.7K,509,289,11
postmalone,1.1M,2.3M,343.8K,801,342,11
poudi,1M,1.1M,92.3K,948,2.5K,11
priimoraa,3.8M,2.2M,314.4K,1.5K,1.6K,12
prokop_02,2.6M,4.5M,745.8K,3.3K,4.9K,11
pumatheweirdo,6M,2M,148.8K,483,1.1K,12
qamar_altaey,33.7M,2M,275.6K,933,198,12
qamar_altaey,33.3M,3.6M,432.9K,1.4K,250,11
qpark,2.4M,5.8M,113.9K,709,169,12
queenofontario,176.8K,1.1M,125.5K,3.3K,8.3K,11
quenblackwell,994.5K,3.1M,383K,2.4K,5.6K,12
quincybytheway,6.7M,2.4M,247.6K,729,626,12
rafaellabd,3.1M,1.3M,233K,2.2K,945,12
rafaelsantos,2.9M,3.3M,553.5K,4.7K,1.4K,11
rah_money1,44.2M,2.7M,202.7K,915,207,12
ramonvitor,44.2M,2.7M,202.7K,915,207,11
raonyp,18.3M,2.1M,386.3K,2.6K,1.3K,12
raredoodle,17.9M,3.7M,703.4K,4.3K,2.7K,11
ratuauliaa22,5.1M,1.7M,219.2K,1.7K,1.9K,11
rauwalejandro,8.2M,2.6M,243.7K,1.8K,4.4K,11
rayanfahmi,13.6M,1.5M,179.1K,757,789,12
rayssabuq,13.6M,1.7M,179.2K,713,782,11
readyfredi,13.2M,2.2M,249.4K,856,530,12
realmadrid,1.6M,1.5M,203.8K,1.6K,308,12
realrobyn,4M,1.4M,80.4K,1.4K,16.3K,11
recider,11.3M,2.2M,321.1K,809,637,11
reemandbarbary,7.1M,1.6M,221.9K,1.1K,888,12
regitamasri,7M,4.1M,698.4K,3K,3.2K,11
renpc_,20M,4.8M,301.2K,1.2K,601,12
retomiguel,10M,1.2M,199.4K,1.7K,829,11
rg4_ticus,3.3M,4.1M,250.3K,865,2K,11
riaricis,8.6M,5.9M,606.5K,2K,956,12
rickylemon99,8.6M,5.9M,606.5K,2K,956,11
rinklebinkle,7.6M,1.1M,272.1K,950,635,11
riumbau,1.6M,902.7K,224.7K,3.2K,2.9K,12
rl.carbona,3.6M,1.8M,334.3K,4K,1.3K,12
robegrill,3.4M,1.7M,258.6K,3.1K,3.9K,12
robertirwin,3.4M,2M,273.9K,2K,3.9K,11
robleisiutu,28.7K,2M,458.2K,1.6K,1.6K,11
rodrigodabcasale,5M,2.3M,476K,2.7K,1.1K,12
rondamichael,6.5M,2.5M,476.2K,3.5K,1.1K,12
rosalia,6.3M,2.7M,515.4K,4.5K,2.2K,11
rrqr7tatsumaki,1.1M,1.9M,114.4K,1.2K,690,11
rubentuestaok,1.1M,1.9M,114.4K,1.2K,690,11
rucenuenda1,2.2M,1.5M,148.7K,1.2K,1.8K,11
rug,1.8M,3.5M,134.6K,1.2K,193,12
ryanhdlombard,2M,2M,243.4K,2.4K,646,12
sabbyandsophia,2M,1.2M,208.9K,2.3K,1.1K,11
sabrenorris,857.4K,1.8M,249.5K,957,3K,12
sabrinacarpenter,17.3M,1.7M,227.7K,740,387,12
samanthayve,485.4K,1.8M,366.4K,2.7K,4K,11
samirasphobia,1.9M,2.7M,365.5K,3.7K,3.3K,11
samkelly322,2.3M,4.4M,306.3K,674,983,12
sammy_dao222,1.9M,4.9M,330.7K,589,737,11
sankeuur,8M,2.1M,349.8K,2K,6.7K,12
santiperezvivas,7.4M,1.8M,280.7K,1.5K,5.2K,11
sapphie_the_pomsky,10.3K,832.5K,149.4K,1.1K,3.1K,12
sapzuu,15M,1.6M,154.2K,1.5K,1.7K,11
sara.wais,6.3M,1.9M,208.1K,734,436,11
saraisthreads,387.5K,3M,560.7K,3.8K,14.2K,12
saramohannad_,3.7M,3.4M,270.3K,2K,2K,12
sashaanddiana,2.5M,1.1M,187.2K,687,4.2K,12
sebasc0423,2.4M,2.1M,341.5K,1K,3.8K,11
sebasgal11,16.9M,4.3M,240.9K,3.1K,880,11
sebasmorenooo,825.5K,1.8M,214.8K,748,1.4K,12
secret_akk,2.8M,1.4M,135.5K,753,1.2K,11
sehataqua,2.1M,6.1M,301.3K,423,3.1K,11
sejsejlija,37.6M,1.9M,178.4K,1.2K,290,12
selenagomez,37.5M,3.3M,317K,1.7K,1.1K,11
ser_jay,4.1M,4.9M,446.2K,424,640,12
seungbin030708,5.8M,2.3M,187K,1.2K,1.1K,11
shabiraalulaadnan,1.2M,810.1K,137.8K,1.9K,3.7K,11
shakira,20.4M,2.3M,278K,405,189,11
shamichef21,21.3M,1.7M,166.2K,1.8K,415,12
shaturday,20.7M,1.3M,134.2K,1.5K,371,11
shaughnaphillips,2M,2.7M,334.2K,5.4K,1.6K,12
shawnjohnson,1.9M,11.6M,1.5M,8.8K,11.4K,11
shayvise,2.5M,2.2M,246.9K,427,1.1K,12
shehabeldin100,2.1M,2.3M,288.6K,463,1.1K,11
sherinicolee,26.8M,1.8M,310.8K,729,422,12
shinohara_kenta,26.8M,1.8M,310.8K,729,422,11
shxtsngigs,16.2M,2.3M,264.4K,551,106,11
sibenitoo,56.1M,3.4M,225.5K,561,15.8K,11
sibenitoo,2.3M,921.5K,165.1K,763,2.4K,11
sidequestz,852K,2.5M,325K,863,401,11
siganviendo59,12.9M,3.3M,433.4K,4.6K,876,12
sijad_qasim,12.4M,3.7M,671.3K,7.6K,2.6K,11
simxmargo,2.4M,4.2M,488.6K,2.1K,11.4K,12
siscakohl,2.1M,2.8M,183.3K,670,865,12
skaijackson,25M,8.4M,582.8K,2.1K,2.2K,12
slaterkodish,24.5M,2.2M,126K,636,1.9K,11
sluy.guy,8.8M,1.3M,171.8K,601,9.8K,12
snerixx,3.1M,924K,226.8K,1.9K,2.2K,12
snoopdogg,2.9M,968.2K,107.4K,741,3K,11
sobrevivente13,6.1M,4.2M,725.7K,1.7K,1.9K,11
sofiaespanha,8.2M,1.7M,382.3K,1.8K,1.2K,12
soimah_pancawati,8.1M,6.8M,1.4M,5K,3.4K,11
soimah_pancawati,31.9M,2.5M,451.1K,3.3K,784,12
sommerray,31.4M,4.6M,732.2K,4.3K,906,11
songdoohee_444,2M,3.9M,496.8K,526,1K,12
sonrixs_,246.4K,925K,118.3K,1.6K,4.2K,12
sonyakisa8,3.9M,2.2M,240.7K,711,187,11
soupytime,183.1K,6.2M,434.5K,1.6K,418,11
soy_marcela4,569.3K,4.5M,510.1K,856,894,11
soysaucer,4M,1.9M,368K,978,536,12
soysuco,3.7M,2.6M,452.3K,1.3K,1K,11
spencer_serafica,4.6M,2.3M,131.7K,1.1K,926,12
spriteder_spd,2M,3.1M,561.2K,2.7K,2.9K,11
ssmaaaryy,755.9K,1.1M,326.1K,901,802,11
ssukasuka12,10.3M,1.2M,166.7K,2.1K,211,11
steve.lacy,3M,2.1M,118.3K,419,1.6K,11
steveioe,1.8M,1.1M,138.8K,809,2K,11
steven.stenlyy,3.6M,3M,665.5K,1.7K,865,11
stickyboy69,6.8M,2.7M,338.6K,1.3K,686,12
strangehuman,6.9M,4.1M,379.5K,2.2K,536,12
sturniolo.triplets,3.7M,1.7M,209.6K,353,2.2K,11
sucss.s,3.9M,3.4M,325.9K,4.3K,6.3K,12
suillaud,3.6M,1.7M,244.3K,3.2K,4.2K,11
sunnyjutt1296,2.8M,862.4K,177.2K,913,2.8K,11
supremepatty_,14M,1.4M,227.2K,1.5K,2.5K,11
surthycooks,4.9M,3.4M,247.4K,207,264,12
surya.manurung,4.8M,1.5M,245.3K,1.1K,3.2K,11
susymourizz,25.7M,2.3M,353.5K,900,1K,12
sweizayne,25.2M,7.2M,816K,1.4K,1.9K,11
syifahadjuuuuuuu,1.6M,2.3M,404.6K,2K,693,11
syifahadjuuuuuuu,9.8M,4.3M,607.7K,2.9K,894,12
tabithaswatosh,9.1M,1.6M,266.8K,1.2K,319,11
taliyaandgustavo,2.2M,1.1M,133.8K,832,2.1K,12
tanboykun_asli,2.5M,2M,254.2K,733,862,12
tarcisioxx_,2.4M,3.5M,551.5K,2.6K,2K,11
tariqjamilofcl,4.3M,2.3M,375.1K,1.6K,1.5K,12
tatizaqui,4.2M,2.3M,367.7K,1.4K,1.5K,11
taylorfrankiepaul,1.5M,5.8M,288.9K,813,1.2K,12
taylorrandsoph,15.4M,1.5M,118.9K,1.8K,417,12
taylorswift,23.7M,1.8M,235K,651,314,12
tctekk,23.4M,1.9M,298K,905,810,11
terryreloaded,3.3M,3.4M,352.9K,2.8K,1.7K,12
tessa_dgen,8.8M,2.3M,274.6K,4.1K,6.9K,12
thaisslinares,8.4M,1.2M,173.4K,2.2K,3.7K,11
